day,exercise_name,order,sets,reps,rest_seconds,user_notes
Monday,Barbell Bench Press,1,4,8,90,Controlled reps
Monday,Incline Dumbbell Flyes,2,3,12,75,Stretch at the bottom
Monday,Arnold Dumbbell Press,3,3,10,75,Do not arch lower back
Monday,Dips - Triceps Version,4,3,10,60,Use assistance if needed
Monday,Cable Rope Overhead Triceps Extension,5,3,12,60,Full elbow extension
,,,,,,
Tuesday,Barbell Squat,1,4,6,120,Main strength lift
Tuesday,Romanian Deadlift,2,4,8,90,Hinge from hips
Tuesday,Leg Press,3,3,12,75,Controlled tempo
Tuesday,Dumbbell Lunges,4,3,10,60,Each leg
Tuesday,Donkey Calf Raises,5,4,15,45,Pause at top
,,,,,,
Wednesday,Wide-Grip Lat Pulldown,1,4,10,75,Pull to upper chest
Wednesday,Bent Over Barbell Row,2,4,8,90,Keep torso stable
Wednesday,Face Pull,3,3,15,60,Focus on rear delts
Wednesday,Dumbbell Alternate Bicep Curl,4,3,12,60,Alternate sides
Wednesday,Concentration Curls,5,3,12,45,Squeeze at top
,,,,,,
Thursday,Plank,1,3,45,30,45 Seconds hold
Thursday,Crunches,2,3,20,30,Slow and controlled
Thursday,Reverse Crunch,3,3,15,30,Do not swing legs
Thursday,Oblique Crunches,4,3,15,30,Each side
Thursday,All Fours Quad Stretch,5,2,30,20,Seconds each side
,,,,,,
Friday,Dumbbell Bench Press,1,3,10,75,Steady tempo
Friday,Front Barbell Squat,2,3,8,90,Keep chest high
Friday,Bent Over Two-Dumbbell Row,3,3,10,75,Neutral spine
Friday,Barbell Shoulder Press,4,3,8,75,Brace core
Friday,Plank,5,3,60,30,Seconds hold
